Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
116,Priya Mishra,34,2181621,12,Kolkata,IT,4.7
110,Arjun Mehta,54,2922699,33,Bangalore,HR,4.4
201,Anjali Singh,43,653702,-,Jaipur,Operations,2.9
233,Swati Desai,24,2691934,24,Mumbai,Sales,3.2
169,Suresh Khanna,NaN,1284697,19,Mumbai,IT,4.3
196,Alok Choudhary,51,NaN,16,Pune,Sales,4.4
260,Arjun Nair,48,1557823,35,Kolkata,Marketing,null
263,Nitin Khanna,37,1157790,16,Chennai,Operations,3.3
248,Swati Iyer,54,1981216,12,Jaipur,FINANCE,3.1
283,Neha Gupta,45,2551946,6,Kolkata,Finance,4
292,Swati Kapoor,54,2016033,27,Jaipur,IT,4.5
265,Deepika Kapoor,48,1122887,25,Kolkata,Marketing,3.3
166,Meera Kapoor,56,1649632,16,Kolkata,FINANCE,4.3
276,Rajesh Mehta,49,2626748,,Kochi,Operations,null
174,Pankaj Yadav,38,873693,3,Banglore,Marketing,4.8
253,Anjali Kumar,54,,20,Pune,IT,
119,Riya Gupta,52,2527704,inf,Mumbai,Marketing,3.5
183,Amit Kumar,22,1297957,2,Delhi,Sales,4.4
187,Anjali Joshi,48,1610922,17,Bangalore,Sales,NaN
244,Alok Iyer,52,1136578,19,Delhi,IT,3.1
161,Ramesh Joshi,NaN,1619180,8,Pune,Management,4.1
202,Ramesh Joshi,48,-45000,5,Kochi,Finance,4.6
199,Sneha Nair,42,586413,20,Ahmedabad,Operations,
131,Ramesh Pandey,41,1668110,19,Kolkata,Sales,4.8
126,Kiran Mishra,28,2648321,27,Bangalore,HR,4.9
117,Riya Kapoor,22,1291447,32,Pune,HR,5
269,Arjun Kumar,37,2508116,23,Pune,Sales,3.1
296,Deepika Choudhary,56,1527398,18,Kochi,Marketing,2.8
198,Deepika Yadav,33,616054,32,Ahmedabad,Sales,4.7
295,Priya Mishra,35,2765931,28,Bangalore,Management,2.6
168,Sunil Verma,52,1411586,26,Hyderabad,Management,4.9
221,Rahul Reddy,37,408688,32,Kochi,Management,3.6
255,Sameer Joshi,50,1883334,35,Hyderabad,Operations,2.8
131,Ramesh Pandey,41,1668110,19,Kolkata,Sales,4.8
180,Kavita Saxena,50,-45000,35,Hyderabad,Finance,2.8
170,Alok Patil,NaN,1530473,28,Kochi,Marketing,null
246,Riya Sharma,41,750051,22,Kochi,HR,3.7
156,Vinod Saxena,52,1270881,19,Jaipur,HR,4.5
146,Priya Iyer,45,2228286,28,Kochi,Finance,4.8
185,Swati Iyer,28,NaN,21,Mumbai,Operations,3.9
247,Priya Nair,32,1379047,1,Chennai,Management,4
167,Swati Kumar,53,829515,22,Jaipur,Hr,3.5
212,Rajesh Singh,53,368934,16,Chennai,Operations,3.9
254,Ayesha Verma,56,589487,null,Bangalore,Management,4.3
197,Suresh Mehta,26,778262,13,Hyderabad,Management,2.9
139,Amit Desai,41,2057502,35,Kolkata,Finance,2.6
125,Ayesha Kumar,,2743222,28,Chennai,Management,2.6
240,Suresh Reddy,52,1333976,20,Chennai,Marketing,4.3
213,Kiran Verma,55,583867,35,Kochi,Sales,2.6
130,Swati Bansal,34,999999999,13,Mumbai,Finance,4.2
120,Rohit Mishra,24,2058356,34,Chennai,Marketing,3.2
279,Meera Choudhary,46,1682198,28,Ahmedabad,Finance,4.2
191,Alok Kumar,58,591862,N/A,Kolkata,Sales,3.4
274,Amit Reddy,50,1792380,25,Ahmedabad,IT,3.2
194,Sunil Reddy,40,332421,28,Pune,HR,4.6
106,Pankaj Nair,25,434638,26,Kolkata,Operations,3.3
268,Kiran Khanna,N/A,999999999,18, Hyd ,Management,2.9
157,Kiran Yadav,49,1242919,18,Mumbai,Management,4.4
229,Anjali Yadav,43,1611066,21,Hyderabad,HR,3.8
177,Deepika Kapoor,29,1399584,24,Kolkata,Operations,3.9
245,Riya Mehta,48,1037311,3,Pune,HR,4.9
205,Sunil Kumar,26,724215,35,Banglore,Management,4
278,Deepika Iyer,41,622631,16,Jaipur,HR,null
176,Ramesh Nair,29,615828,15,Pune,Management,2.7
275,Rajesh Verma,39,2958773,25,Mumbai,Finance,4.4
132,Ramesh Joshi,57,1574543,28,Ahmedabad,Sales,4.2
113,Swati Desai,50,2193670,NaN,Ahmedabad,Operations,2.7
136,Arjun Iyer,57,967556,31,Kolkata,Finance,3.8
226,Ayesha Mishra,44,2476415,6,Kochi,Marketing,3.8
143,Sunil Khanna,29,1214209,17,Bangalore,Marketing,4.4
257,Priya Gupta,48,365623,5,Delhi,Marketing,2.6
237,Rahul Sharma,52,2726297,4,Bangalore,Marketing,4.6
241,Sameer Kapoor,39,2705336,25,Pune,Management,3.2
152,Sunil Reddy,24,2620955,9,Jaipur,IT,3.7
214,Sameer Reddy,23,583365,7,Hyderabad,Finance,4.5
267,Riya Sharma,48,2945354,N/A,Jaipur,Operations,4.8
142,Nitin Kapoor,25,1767840,5,Delhi,HR,2.6
225,Sameer Kumar,57,1063208,9,Delhi,Operations,2.9
179,Swati Saxena,45,2565731,10,Mumbai,Operations,
220,Sameer Desai,46,435833,29,Hyderabad,IT,3.8
127,Vinod Sharma,33,1693286,27,Kolkata,Management,null
238,Kiran Mishra,24,760935,29,Bangalore,HR,4.4
196,Alok Choudhary,51,NaN,16,Pune,Sales,4.4
218,Ramesh Nair,28,1540003,28,Jaipur,IT,4.8
103,Suresh Nair,28,705657,23,Delhi,Operations,
178,Pankaj Verma,51,1567477,8,Delhi,Sales,3.1
147,Anjali Iyer,39,1329681,6,Jaipur,Sales,4.2
223,Alok Mehta,45,809031,9,,Operations,4.5
228,Vinod Choudhary,23,2930516,20,Pune,IT,2.9
186,Sneha Pandey,40,2839344,8,Kochi,HR,4.7
239,Nitin Gupta,30,2652529,31,Hyderabad,Sales,3.4
137,Deepika Saxena,26,1283537,21,Mumbai,HR,2.9
215,Suresh Saxena,52,,3,Delhi,IT,3.3
